"","sp_code","elevation","season","plant_group","species","shape_upd","symmetry","flower_pos","anther_pos","odour","brightness","colour","nectar_guides","size","tube_length","volume","concentration","sugar_amount","glucose","fructose","saccharose","d","shape_upd_num","symmetry_num","flower_pos_num","anther_pos_num","odour_num","brightness_num","nectar_guides_num","R","G","B","brown","green","orange","pink","purple","red","white","yellow"
"COSDUB_1100_DRY","COSDUB",1100,"DRY","Herb","Costus dubius","Tube","Zygomorphic","Upright","Hidden","Strong ","Vivid","White","Present",3.1411,3.674,10.8728070175439,14.3166666666667,1.82266177427632,0.0758603325458263,0.152582181471493,0.771557485982681,0.164643968974863,0,1,0.5,0,0,1,1,255,255,255,0,0,0,0,0,0,1,0
"CRAMON_1100_DRY","CRAMON",1100,"DRY","Herb","Crassocephalum montuosum","Tube","Actinomorphic","All","Exposed","Strong ","Vivid","Orange","Absent",0.6139,0.7089,NA,NA,0.00259007092198582,0.275172073442006,0.360266632222594,0.3645612943354,0.0986317696530231,0,0,0,1,0,1,0,255,165,0,0,0,1,0,0,0,0,0
"CUVLON_1100_DRY","CUVLON",1100,"DRY","Tree","Cuviera longiflora","Stellate","Actinomorphic","Upright","Exposed","Strong ","Vivid","Green","Present",4.147,0.6646,NA,NA,1.62733333333333,0.195215460582996,0.29435915369932,0.510425385717684,0.640389398598027,1,0,0.5,1,0,1,1,0,255,0,0,1,0,0,0,0,0,0
"DEISP1_1100_DRY","DEISP1",1100,"DRY","Shrub","Deinbollia sp 1","Urceolate","Actinomorphic","All","Exposed","Weak-No","Drab","Green","Absent",0.2886,0,NA,NA,0.164492888888889,0.163789552795448,0.175461228151133,0.660749219053419,0.17436960265767,0,0,0,1,0,0,0,0,255,0,0,1,0,0,0,0,0,0
"DIOCUM_1100_DRY","DIOCUM",1100,"DRY","Climber","Dioscoreophyllum cumminsii","Open","Actinomorphic","Horizontal","Exposed","Weak-No","Drab","Yellow","Absent",0.3216,0,NA,NA,0.00270700793650794,0.333217773940968,0.650238108411973,0.0165441176470588,0.37473738389432,1,0,1,1,0,0,0,255,255,0,0,0,0,0,0,0,0,1
"DISHEX_1100_DRY","DISHEX",1100,"DRY","Tree","Discocloaxylon hexandrum","Open","Actinomorphic","Pendant","Exposed","Weak-No","Drab","Green","Absent",0.492,0,NA,NA,0.00448964285714286,0.0645566001772457,0.0535255686583649,0.881917831164389,0.36802689631825,1,0,0,1,0,0,0,0,255,0,0,1,0,0,0,0,0,0
"DISSP1_1100_DRY","DISSP1",1100,"DRY","Herb","Dischistocalyx sp 1","Tube","Actinomorphic","Upright","Hidden","Weak-No","Vivid","Purple","Present",1.9894,2.4218,4.77974828375286,15.2434782608696,0.655031683312247,0.305426788066689,0.180396514683555,0.514176697249756,0.403185542816889,0,0,0.5,0,0,1,1,160,32,240,0,0,0,0,1,0,0,0
"DISSP2_1100_DRY","DISSP2",1100,"DRY","Herb","Dischistocalyx sp 2","Tube","Zygomorphic","Upright","Hidden","Weak-No","Vivid","Purple","Present",2.80066666666667,3.52466666666667,NA,NA,NA,NA,NA,NA,0.404523948101461,0,1,0.5,0,0,1,1,160,32,240,0,0,0,0,1,0,0,0
"GRELIA_1100_DRY","GRELIA",1100,"DRY","Climber","Prionostemma fimbriatum","Open","Actinomorphic","Upright","Exposed","Weak-No","Drab","Green","Absent",1.004,0,NA,NA,0.0034,NA,NA,NA,0.221341161357385,1,0,0.5,1,0,0,0,0,255,0,0,1,0,0,0,0,0,0
"KIGAFR_1100_DRY","KIGAFR",1100,"DRY","Tree","Kigelia africana","Trumpet","Actinomorphic","Horizontal","Partially exposed","Weak-No","Vivid","Red","Present",7.4974,2.4106,49.6232769423559,16.625,11.000242189306,0.283196971120184,0.38264878679026,0.334154242089557,0.725040005222372,0,0,1,0.5,0,1,1,255,0,0,0,0,0,0,0,1,0,0
"LANLAN_1100_DRY","LANLAN",1100,"DRY","Climber","Landolphia landolphioides","Trumpet","Actinomorphic","Upright","Hidden","Strong ","Vivid","White","Present",3.6186,1.4482,NA,NA,NA,NA,NA,NA,0.411270580503908,0,0,0.5,0,0,1,1,255,255,255,0,0,0,0,0,0,1,0
"MAPMAC_1100_DRY","MAPMAC",1100,"DRY","Herb","Mapania macrantha","Open","Actinomorphic","Upright","Exposed","Strong ","Drab","White","Absent",7.3846,0,NA,NA,0.00618,0.290909090909091,0.236363636363636,0.472727272727273,0.129973002881639,1,0,0.5,1,0,0,0,255,255,255,0,0,0,0,0,0,1,0
"MELSCA_1100_DRY","MELSCA",1100,"DRY","Climber","Melanthera scandens","Tube","Actinomorphic","Upright","Exposed","Weak-No","Vivid","Orange","Absent",0.168,0.2417,NA,NA,0.00290481720525581,0.307619246814574,0.252389304213561,0.439991448971866,0.338627449572045,0,0,0.5,1,0,1,0,255,165,0,0,0,1,0,0,0,0,0
"MIKCOR_1100_DRY","MIKCOR",1100,"DRY","Climber","Mikania cordata","Bell","Actinomorphic","All","Exposed","Strong ","Vivid","White","Absent",0.2116,0.487,NA,NA,0.00386705037386856,0.15850076100282,0.423690332504144,0.417808906493036,0.0834329674295542,0,0,0,1,0,1,0,255,255,255,0,0,0,0,0,0,1,0
"MONFOL_1100_DRY","MONFOL",1100,"DRY","Climber","Monanthotaxis foliosa","Open","Actinomorphic","Upright","Exposed","Weak-No","Drab","Yellow","Absent",1.162,0,NA,NA,3e-04,NA,NA,NA,0.217008733846685,1,0,0.5,1,0,0,0,255,255,0,0,0,0,0,0,0,0,1
"MUSTEN_1100_DRY","MUSTEN",1100,"DRY","Climber","Mussaenda tenuiflora","Tube","Actinomorphic","Upright","Hidden","Weak-No","Vivid","Yellow","Present",1.13066666666667,2.91644444444444,4.79964114832536,20.02,1.25549835226608,0.0325858276224516,0.0300769971297471,0.937337175247801,0.300218611384255,0,0,0.5,0,0,1,1,255,255,0,0,0,0,0,0,0,0,1
"ONCDEN_1100_DRY","ONCDEN",1100,"DRY","Shrub","Oncoba dentata","Open","Actinomorphic","All","Exposed","Strong ","Vivid","White","Absent",1.952,0,NA,NA,0.00466153846153846,0.445376699324068,0.530430875167717,0.024192425508215,0.207898683113498,1,0,0,1,0,1,0,255,255,255,0,0,0,0,0,0,1,0
"PALBAR_1100_DRY","PALBAR",1100,"DRY","Herb","Palisota barteri","Open","Actinomorphic","Horizontal","Exposed","Weak-No","Drab","White","Absent",0.912285714285714,0,NA,NA,0.000891265154598488,0.290983606557377,0.245901639344262,0.463114754098361,0.414209810402875,1,0,1,1,0,0,0,255,255,255,0,0,0,0,0,0,1,0
"PARSET_1100_DRY","PARSET",1100,"DRY","Herb","Parapentas setigera","Bell","Actinomorphic","Upright","Hidden","Weak-No","Vivid","White","Absent",0.5702,0.243,NA,NA,NA,NA,NA,NA,0.494127837292459,0,0,0.5,0,0,1,0,255,255,255,0,0,0,0,0,0,1,0
"PARZEN_1100_DRY","PARZEN",1100,"DRY","Climber","Pararistolochia zenkeri","Trumpet","Actinomorphic","Horizontal","Hidden","Weak-No","Drab","Brown","Absent",5.1534,5.1604,NA,NA,0.0300925925925926,0.357854029908019,0.605812381414957,0.0363335886770245,0.36812982185425,0,0,1,0,0,0,0,165,42,42,1,0,0,0,0,0,0,0
"PAVRIG_1100_DRY","PAVRIG",1100,"DRY","Shrub","Pavetta rigida","Salverform","Actinomorphic","Upright","Exposed","Weak-No","Vivid","White","Absent",2.5618,1.6306,4.47714681440443,12.3578947368421,0.562755545934326,0.268331560579496,0.280015291617567,0.451653147802938,0.210570561410759,0,0,0.5,1,0,1,0,255,255,255,0,0,0,0,0,0,1,0
"PIPUMB_1100_DRY","PIPUMB",1100,"DRY","Shrub","Piper umbellatum","Open","Actinomorphic","Horizontal","Exposed","Weak-No","Drab","White","Absent",0.1002,0,NA,NA,0.000130888834990703,0.411214953271028,0.355140186915888,0.233644859813084,0.232409427251741,1,0,1,1,0,0,0,255,255,255,0,0,0,0,0,0,1,0
"PLEGLA_1100_DRY","PLEGLA",1100,"DRY","Herb","Plectranthus glandulosus","Labiate","Zygomorphic","Horizontal","Hidden","Strong ","Vivid","Purple","Present",1.1963,0.5326,0.693713450292398,36.0153846153846,0.313473761458333,0.181621388202203,0.144327802351303,0.674050809446494,0.320964846807891,0,1,1,0,0,1,1,160,32,240,0,0,0,0,1,0,0,0
"PLEKAM_1100_DRY","PLEKAM",1100,"DRY","Herb","Plectranthus kamerunensis","Labiate","Zygomorphic","Horizontal","Hidden","Weak-No","Vivid","Purple","Present",1.0456,0.4296,1.44517543859649,27.9888888888889,0.418830518662779,0.233103822733897,0.043952718277388,0.722943458988714,0.168271328685358,0,1,1,0,0,1,1,160,32,240,0,0,0,0,1,0,0,0
"PSYLEP_1100_DRY","PSYLEP",1100,"DRY","Shrub","Psychotria leptophylla","Bell","Actinomorphic","Upright","Exposed","Weak-No","Drab","White","Absent",0.2982,0.1862,NA,NA,0.0931625,0.345579636475736,0.338192380815533,0.316227982708731,0.292300315135149,0,0,0.5,1,0,0,0,255,255,255,0,0,0,0,0,0,1,0
"SABVEN_1100_DRY","SABVEN",1100,"DRY","Climber","Sabicea venosa","Tube","Actinomorphic","Horizontal","Partially exposed","Weak-No","Drab","White","Absent",0.456,0.872,NA,NA,NA,NA,NA,NA,0.378325189181365,0,0,1,0.5,0,0,0,255,255,255,0,0,0,0,0,0,1,0
"SCACIN_1100_DRY","SCACIN",1100,"DRY","Herb","Scadoxus cinnabarinus","Salverform","Actinomorphic","All","Exposed","Weak-No","Vivid","Orange","Absent",4.1598,0.7122,0.93,21.2,0.2112925032,0,0,0,0.461315694250302,0,0,0,1,0,1,0,255,165,0,0,0,1,0,0,0,0,0
"SCHMAG_1100_DRY","SCHMAG",1100,"DRY","Tree","Schumanniophyton magnificum","Trumpet","Actinomorphic","All","Partially exposed","Strong ","Vivid","White","Absent",4.254,8.884,NA,NA,NA,NA,NA,NA,0.471489090254376,0,0,0,0.5,0,1,0,255,255,255,0,0,0,0,0,0,1,0
"SHEBIG_1100_DRY","SHEBIG",1100,"DRY","Climber","Sherbournia bignoniiflora","Bell","Actinomorphic","Pendant","Hidden","Weak-No","Vivid","White","Absent",4.888,4.56525,44.5,30.75,15.3304500625,0.0778565369936538,0.821907576430109,0.100235886576237,0.129467333041983,0,0,0,0,0,1,0,255,255,255,0,0,0,0,0,0,1,0
"TABBRA_1100_DRY","TABBRA",1100,"DRY","Tree","Tabernaemontana brachyantha","Salverform","Actinomorphic","All","Hidden","Strong ","Vivid","White","Present",4.82757142857143,1.25957142857143,14.8428362573099,11.6,1.89452251535088,0.319829944506819,0.57369069120274,0.106479364290441,0.0756160968618221,0,0,0,0,0,1,1,255,255,255,0,0,0,0,0,0,1,0
"TABVEN_1100_DRY","TABVEN",1100,"DRY","Climber","Tabernaemontana ventricosa","Salverform","Actinomorphic","All","Hidden","Strong ","Vivid","White","Absent",3.64516666666667,1.22,4.65842636895268,20.2241379310345,1.1043479401467,0.223731084480659,0.306909168879215,0.469359746640126,0.148033376349025,0,0,0,0,0,1,0,255,255,255,0,0,0,0,0,0,1,0
"THOSAN_1100_DRY","THOSAN",1100,"DRY","Herb","Thonningia sanguinea","Bell","Actinomorphic","Upright","Hidden","Weak-No","Vivid","Red","Absent",4.06218181818182,0,347.692307692308,12.7384615384615,50.0997418057692,0,0,0,0.46466944383618,0,0,0.5,0,0,1,0,255,0,0,0,0,0,0,0,1,0,0
"THUFAS_1100_DRY","THUFAS",1100,"DRY","Climber","Thunbergia fasciculata","Trumpet","Zygomorphic","Horizontal","Hidden","Weak-No","Vivid","Purple","Present",5.1468,4.5162,6.08552631578948,13.68,1.08987154694549,0.088584785680559,0.107232205074458,0.804183009244983,0.30528055950668,0,1,1,0,0,1,1,160,32,240,0,0,0,0,1,0,0,0
"TRCSP1_1100_DRY","TRCSP1",1100,"DRY","Shrub","Tricalysia sp 1","Open","Actinomorphic","Upright","Exposed","Strong ","Drab","Green","Absent",0.9678,0,NA,NA,NA,NA,NA,NA,0.277652016182084,1,0,0.5,1,0,0,0,0,255,0,0,1,0,0,0,0,0,0
"TRIRUB_1100_DRY","TRIRUB",1100,"DRY","Tree","Trichilia rubescens","Dish","Actinomorphic","Upright","Exposed","Moderate","(blank)","Green","Absent",1.005,0.2595,2.746614,20.7857142857143,0.363977829341526,0.178876224572672,0.501008154087619,0.320115621339708,0.318916232031704,1,0,0.5,1,0.5,0,0,0,255,0,0,1,0,0,0,0,0,0
"VOAAFR_1100_DRY","VOAAFR",1100,"DRY","Tree","Voacanga africana","Salverform","Actinomorphic","All","Hidden","Weak-No","Vivid","White","Absent",1.7764,0.9176,8.12280701754386,14.7,1.23935547166667,0.0228898535783595,0.0272274349628121,0.949882711458829,0.210596421036447,0,0,0,0,0,1,0,255,255,255,0,0,0,0,0,0,1,0
"AFRSPP_1450_DRY","AFRSPP",1450,"DRY","Herb","Aframomum sp purple","Trumpet","Zygomorphic","Upright","Hidden","Weak-No","Vivid","Purple","Present",5.1243125,4.5085,9.54098945279866,15.355,2.29074008501316,0.349860404124969,0.31056638197741,0.33957321389762,0.553142260006484,0,1,0.5,0,0,1,1,160,32,240,0,0,0,0,1,0,0,0
"AFRSPW_1450_DRY","AFRSPW",1450,"DRY","Herb","Aframomum sp white","Trumpet","Zygomorphic","Upright","Hidden","Weak-No","Vivid","White","Present",2.99666666666667,4.32666666666667,89.4742105263158,17.0666666666667,21.8033889392857,0.370416393112431,0.358760831900134,0.270822774987435,0.522640265810836,0,1,0.5,0,0,1,1,255,255,255,0,0,0,0,0,0,1,0
"APOPAL_1450_DRY","APOPAL",1450,"DRY","Climber","Apodostigma pallens","Open","Actinomorphic","Horizontal","Exposed","Weak-No","Drab","Green","Absent",0.34,0,NA,NA,NA,NA,NA,NA,0.101745097574109,1,0,1,1,0,0,0,0,255,0,0,1,0,0,0,0,0,0
"BEGMAN_1450_DRY","BEGMAN",1450,"DRY","Herb","Begonia mannii","Open","Zygomorphic","All","Exposed","Weak-No","Vivid","Red","Absent",1.5245,0,NA,NA,0.00459615384615385,0.471349795801069,0.523061968904813,0.00558823529411765,0.295918833338459,1,1,0,1,0,1,0,255,0,0,0,0,0,0,0,1,0,0
"BEGOXY_1450_DRY","BEGOXY",1450,"DRY","Herb","Begonia oxyloba","Open","Zygomorphic","Horizontal","Exposed","Weak-No","Vivid","Pink","Present",1.1908,0,NA,NA,0.000967204301075269,NA,NA,NA,0.173139310038154,1,1,1,1,0,1,1,255,192,203,0,0,0,1,0,0,0,0
"BRIOWA_1450_DRY","BRIOWA",1450,"DRY","Herb","Brillantaisia owariensis","Labiate","Zygomorphic","Horizontal","Exposed","Strong ","Vivid","Purple","Present",2.9276,1.0362,3.59824561403509,30.332,1.36185505081798,0.196739136155023,0.233855835839328,0.569405028005649,0.348933364411128,0,1,1,1,0,1,1,160,32,240,0,0,0,0,1,0,0,0
"BRISPE_1450_DRY","BRISPE",1450,"DRY","Tree","Bridelia speciosa","Open","Actinomorphic","All","Exposed","Weak-No","Drab","Green","Absent",0.542,0,NA,NA,NA,NA,NA,NA,0.202762986216612,1,0,0,1,0,0,0,0,255,0,0,1,0,0,0,0,0,0
"CHLCOM_1450_DRY","CHLCOM",1450,"DRY","Herb","Chlorophytum comosum","Stellate","Actinomorphic","All","Exposed","Weak-No","Drab","White","Absent",0.6308,0,NA,NA,0.0146571428571429,0.494618040958154,0.503431237106125,0.00195072193572185,0.173139310038154,1,0,0,1,0,0,0,255,255,255,0,0,0,0,0,0,1,0
"CLESIM_1450_DRY","CLESIM",1450,"DRY","Climber","Clematis simensis","Open","Actinomorphic","All","Exposed","Weak-No","Vivid","White","Absent",2.502,0,NA,NA,0.003915,0.145381858285084,0.0734383895674218,0.781179752147494,0.298713077734334,1,0,0,1,0,1,0,255,255,255,0,0,0,0,0,0,1,0
"COSDUB_1450_DRY","COSDUB",1450,"DRY","Herb","Costus dubius","Tube","Zygomorphic","Upright","Hidden","Strong ","Vivid","White","Present",3.1411,3.674,10.8728070175439,14.3166666666667,1.82266177427632,0.0758603325458263,0.152582181471493,0.771557485982681,0.50017583467549,0,1,0.5,0,0,1,1,255,255,255,0,0,0,0,0,0,1,0
"CRAMON_1450_DRY","CRAMON",1450,"DRY","Herb","Crassocephalum montuosum","Tube","Actinomorphic","All","Exposed","Strong ","Vivid","Orange","Absent",0.6139,0.7089,NA,NA,0.00259007092198582,0.275172073442006,0.360266632222594,0.3645612943354,0.438832572319858,0,0,0,1,0,1,0,255,165,0,0,0,1,0,0,0,0,0
"CRAVIT_1450_DRY","CRAVIT",1450,"DRY","Herb","Crassocephalum vitellinum","Tube","Actinomorphic","Upright","Exposed","Weak-No","Vivid","Yellow","Absent",0.1256,1.1074,NA,NA,NA,NA,NA,NA,0.277432632011788,0,0,0.5,1,0,1,0,255,255,0,0,0,0,0,0,0,0,1
"DESREP_1450_DRY","DESREP",1450,"DRY","Herb","Hylodesmum repandum","Papilionaceous","Zygomorphic","Horizontal","Hidden","Weak-No","Vivid","Orange","Absent",1.3473,0.7536,NA,NA,0.0020875,NA,NA,NA,0.431876457074197,0,1,1,0,0,1,0,255,165,0,0,0,1,0,0,0,0,0
"DICVES_1450_DRY","DICVES",1450,"DRY","Shrub","Dicranolepis vestita","Salverform","Actinomorphic","Upright","Exposed","Strong ","Vivid","White","Absent",2.26983333333333,1.72983333333333,1.18536472760849,20.4307692307692,0.359766752386977,0.0277803099784249,0.0290034381406864,0.943216251880889,0.220716350484694,0,0,0.5,1,0,1,0,255,255,255,0,0,0,0,0,0,1,0
"ENGGAB_1450_DRY","ENGGAB",1450,"DRY","Epiphyte","Englerina gabonensis","Tube","Zygomorphic","All","Exposed","Weak-No","Vivid","Red","Absent",1.87257142857143,2.94542857142857,10.6499202551834,10.1307692307692,1.55204887587298,0,0,0,0.288651445206858,0,1,0,1,0,1,0,255,0,0,0,0,0,0,0,1,0,0
"HYPTRI_1450_DRY","HYPTRI",1450,"DRY","Herb","Hypoestes triflora","Trumpet","Zygomorphic","Horizontal","Exposed","Weak-No","Vivid","White","Absent",1.2425,0.6914,0.763321312784336,20.4611111111111,0.207567271677632,0.413951018059288,0.260044218068893,0.326004763871819,0.21235618964075,0,1,1,1,0,1,0,255,255,255,0,0,0,0,0,0,1,0
"IMPBUR_1450_DRY","IMPBUR",1450,"DRY","Herb","Impatiens burtonii","Gullet","Zygomorphic","Horizontal","Partially exposed","Weak-No","Vivid","Pink","Present",2.9129,1.0358,0.81062030075188,29.68,0.326933730035425,0.141213973128117,0.0758360493632099,0.782949977508674,0.308704388310025,0,1,1,0.5,0,1,1,255,192,203,0,0,0,1,0,0,0,0
"IMPMAN_1450_DRY","IMPMAN",1450,"DRY","Herb","Impatiens mannii","Gullet","Zygomorphic","Horizontal","Partially exposed","Weak-No","Vivid","White","Present",2.27125,1.0241,0.646929824561403,33.05,0.0521780470394737,0.209529361268593,0.150904873576115,0.639565765155292,0.451563471531078,0,1,1,0.5,0,1,1,255,255,255,0,0,0,0,0,0,1,0
"IMPNIA_1450_DRY","IMPNIA",1450,"DRY","Epiphyte","Impatiens niamniamensis","Gullet","Zygomorphic","Horizontal","Exposed","Weak-No","Vivid","Red","Absent",2.0146,2.1059,9.75907029478458,15.9861111111111,1.74866011202379,0.0879124630119193,0.0916280907336737,0.820459446254407,0.417800621835366,0,1,1,1,0,1,0,255,0,0,0,0,0,0,0,1,0,0
"ISORAM_1450_DRY","ISORAM",1450,"DRY","Herb","Isodon ramosissimus","Salverform","Zygomorphic","All","Exposed","Weak-No","Vivid","White","Present",0.5858,0.1942,0.603801169590643,16.2153846153846,0.100832855132422,0.262818371817005,0.169124996557788,0.568056631625207,0.30388227855865,0,1,0,1,0,1,1,255,255,255,0,0,0,0,0,0,1,0
"KEEMAN_1450_DRY","KEEMAN",1450,"DRY","Climber","Keetia mannii","Salverform","Actinomorphic","Horizontal","Exposed","Strong ","Vivid","White","Present",0.335,0.2645,NA,NA,NA,NA,NA,NA,0.330740799210021,0,0,1,1,0,1,1,255,255,255,0,0,0,0,0,0,1,0
"KIGAFR_1450_DRY","KIGAFR",1450,"DRY","Tree","Kigelia africana","Trumpet","Actinomorphic","Horizontal","Partially exposed","Weak-No","Vivid","Red","Present",7.4974,2.4106,49.6232769423559,16.625,11.000242189306,0.283196971120184,0.38264878679026,0.334154242089557,0.448813851378942,0,0,1,0.5,0,1,1,255,0,0,0,0,0,0,0,1,0,0
"MELSCA_1450_DRY","MELSCA",1450,"DRY","Climber","Melanthera scandens","Tube","Actinomorphic","Upright","Exposed","Weak-No","Vivid","Orange","Absent",0.168,0.2417,NA,NA,0.00290481720525581,0.307619246814574,0.252389304213561,0.439991448971866,0.239794341703904,0,0,0.5,1,0,1,0,255,165,0,0,0,1,0,0,0,0,0
"MUSTEN_1450_DRY","MUSTEN",1450,"DRY","Climber","Mussaenda tenuiflora","Tube","Actinomorphic","Upright","Hidden","Weak-No","Vivid","Yellow","Present",1.13066666666667,2.91644444444444,4.79964114832536,20.02,1.25549835226608,0.0325858276224516,0.0300769971297471,0.937337175247801,0.408641844182207,0,0,0.5,0,0,1,1,255,255,0,0,0,0,0,0,0,0,1
"ONCLOP_1450_DRY","ONCLOP",1450,"DRY","Tree","Oncoba lophocarpa","Open","Actinomorphic","Horizontal","Exposed","Weak-No","Vivid","White","Absent",5.386,0,NA,NA,NA,NA,NA,NA,0.482893131992611,1,0,1,1,0,1,0,255,255,255,0,0,0,0,0,0,1,0
"PLEKAM_1450_DRY","PLEKAM",1450,"DRY","Herb","Plectranthus kamerunensis","Labiate","Zygomorphic","Horizontal","Hidden","Weak-No","Vivid","Purple","Present",1.0456,0.4296,1.44517543859649,27.9888888888889,0.418830518662779,0.233103822733897,0.043952718277388,0.722943458988714,0.245007259728698,0,1,1,0,0,1,1,160,32,240,0,0,0,0,1,0,0,0
"PSYDUN_1450_DRY","PSYDUN",1450,"DRY","Tree","Psydrax dunlapii","Salverform","Actinomorphic","Upright","Exposed","Strong ","Vivid","Yellow","Present",0.5325,0.358,0.418640350877193,20.6454545454545,0.112499283213201,0.144556512593094,0.171603843969881,0.683839643437026,0.228689924982014,0,0,0.5,1,0,1,1,255,255,0,0,0,0,0,0,0,0,1
"RUTSMI_1450_DRY","RUTSMI",1450,"DRY","Climber","Rutidea smithii","Open","Actinomorphic","Horizontal","Exposed","Strong ","Vivid","White","Present",0.426,0.492,NA,NA,NA,NA,NA,NA,0.495677740962855,1,0,1,1,0,1,1,255,255,255,0,0,0,0,0,0,1,0
"SOLMAN_1450_DRY","SOLMAN",1450,"DRY","Shrub","Solanecio mannii","Tube","Actinomorphic","All","Exposed","Weak-No","Vivid","Yellow","Absent",0.2678,0.6144,NA,NA,0.00519759259259259,0.532690807355986,0.459731056494449,0.00757813614956472,0.24158905997974,0,0,0,1,0,1,0,255,255,0,0,0,0,0,0,0,0,1
"STAACU_1450_DRY","STAACU",1450,"DRY","Herb","Stachys aculeolata","Labiate","Zygomorphic","Horizontal","Exposed","Weak-No","Vivid","Purple","Present",0.4862,0.399,0.738304093567252,21.55,0.0585029477683179,0.226051686222731,0.163862593388248,0.610085720389022,0.21105618315308,0,1,1,1,0,1,1,160,32,240,0,0,0,0,1,0,0,0
